시간	무게	무게 변화	포트	로그	상태
15_17_48_666	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	536	f
15_17_48_712	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_48_715	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_48_734	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_48_772	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_48_774	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_48_800	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_48_802	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_48_883	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_48_925	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_48_930	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_48_932	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_48_992	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_48_995	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_020	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_49_022	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_104	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_107	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_140	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_144	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_49_213	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_216	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	539	f
15_17_49_254	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_49_257	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	547	f
15_17_49_322	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	539	f
15_17_49_347	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_374	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	547	f
15_17_49_377	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_49_430	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_434	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_473	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_49_477	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_538	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_543	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_580	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_583	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_49_646	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_650	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_691	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	406	f
15_17_49_694	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_756	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_791	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_813	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	406	f
15_17_49_816	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_864	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_867	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_914	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_943	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	406	f
15_17_49_972	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_975	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_50_027	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_051	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_50_083	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_087	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	539	f
15_17_50_136	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_159	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_50_193	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_50_197	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_247	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_280	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_50_313	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_316	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_50_362	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	408	f
15_17_50_394	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_50_425	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_50_428	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_474	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_503	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_50_526	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_530	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_50_581	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_607	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_50_633	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_50_637	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_693	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_713	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_50_735	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_50_740	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_799	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_845	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_50_886	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_50_890	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_934	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_947	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_50_972	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_51_000	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_51_023	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_51_043	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_51_080	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_51_085	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_51_127	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_51_154	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_51_188	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_51_191	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_51_242	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_51_261	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_51_293	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_51_296	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_51_340	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_51_370	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_51_421	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_51_426	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_51_454	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_51_474	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_51_546	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_51_550	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_51_594	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_51_712	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_51_741	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_51_784	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_51_820	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_51_843	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_51_944	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_51_950	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_51_980	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_52_027	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_52_032	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_52_091	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_52_095	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_52_137	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_52_143	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_52_209	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_52_241	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_52_246	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	539	f
15_17_52_292	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_52_323	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_52_392	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_52_422	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_52_678	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_52_709	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_52_739	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_52_881	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_52_938	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_53_000	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_53_006	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_53_048	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_53_135	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_53_174	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_53_268	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_53_290	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_53_301	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_53_314	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_53_354	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_53_359	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_53_363	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_53_368	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_53_372	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_53_376	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_53_399	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_53_403	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_53_425	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_53_429	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_53_457	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_53_462	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_53_494	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_53_499	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_53_529	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_53_557	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_53_584	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_53_591	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_53_638	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_53_645	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_53_707	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_53_714	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_53_746	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_53_751	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_53_800	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_53_807	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_53_852	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_53_860	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_53_917	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_53_923	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_53_967	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_53_972	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_54_010	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_54_031	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_54_071	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_54_080	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_54_144	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_54_150	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_54_188	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_54_192	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_54_229	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_54_233	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_54_290	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_54_294	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_54_337	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_54_342	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	547	f
15_17_54_399	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_54_407	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_54_450	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_54_457	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_54_508	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_54_514	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	539	f
15_17_54_556	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_54_580	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_54_617	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_54_624	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	539	f
15_17_54_664	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	406	f
15_17_54_683	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_54_725	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_54_731	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_54_774	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	406	f
15_17_54_798	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_54_835	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_54_842	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_54_886	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	406	f
15_17_54_910	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_54_947	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	536	f
15_17_54_953	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_54_996	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	406	f
15_17_55_024	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_55_058	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_55_064	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_55_106	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_55_126	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_55_166	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_55_173	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_55_214	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_55_239	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_55_277	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_55_284	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_55_327	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_55_352	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_55_380	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_55_386	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_55_426	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_55_457	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_55_493	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_55_499	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_55_540	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_55_564	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_55_600	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_55_607	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_55_646	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_55_669	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_55_717	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_55_722	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_55_755	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_55_777	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_55_826	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_55_855	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_55_878	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_55_884	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_55_935	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_55_941	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_55_982	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_56_005	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_56_043	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_56_051	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_56_091	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_56_112	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_56_153	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_56_185	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_56_205	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_56_210	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_56_263	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_56_297	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_56_318	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_56_323	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_56_370	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_56_405	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	539	f
15_17_56_429	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_56_435	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_56_471	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_56_510	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_56_536	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_56_542	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	408	f
15_17_56_581	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_56_616	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_56_643	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_56_647	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_56_690	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_56_723	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_56_753	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_56_802	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_56_827	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_56_860	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_56_884	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_56_890	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_56_924	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_56_955	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_56_976	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_56_980	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_57_033	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_57_066	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	539	f
15_17_57_091	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_57_096	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_57_142	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	423	f
15_17_57_177	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_57_200	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
