시간	무게	무게 변화	포트	로그	상태
15_18_25_046	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_25_056	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_25_064	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_25_101	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_25_156	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_25_161	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_25_166	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_25_201	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_25_265	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_25_271	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_25_278	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_25_319	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_25_375	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_25_382	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_25_388	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_25_421	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_25_483	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_25_491	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_25_496	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_25_530	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_25_607	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_25_611	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_25_615	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_25_640	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_25_716	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_25_721	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_25_727	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_25_759	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_25_826	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_25_834	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_25_841	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_25_873	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_25_936	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_25_944	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_25_952	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_25_984	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_26_047	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_26_053	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_26_061	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_26_085	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_26_155	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_26_162	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_26_168	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_26_194	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_26_263	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_26_272	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_26_279	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_26_332	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_26_378	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_26_384	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_26_389	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_26_417	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_26_484	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_26_491	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_26_497	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_26_520	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_26_593	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
